trial_nr,Participant Public ID,Participant Private ID,t_response,choice,rt,gain,loss,score tally
108,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,290,0,1,115
109,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,381,0,1,114
110,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,366,0,1,113
111,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,319,0,0,113
112,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,589,0,0,113
113,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,503,0,1,112
114,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,278,0,1,111
115,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,361,0,0,111
116,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,0,253,0,1,110
117,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,252,1,1,110
118,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,316,1,1,110
119,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,349,0,1,109
120,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,823,1,1,109
121,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,315,0,1,108
122,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,1,520,0,1,107
123,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,247,1,0,108
124,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,271,1,0,109
125,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,251,0,0,109
126,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,295,1,0,110
127,5e85f278c880ee1edb7e96ee,8938814,1.69E+12,2,319,0,0,110
